class	spec	name	spell_id	reached_by	provenance
Warlock	Affliction	Spell Lock	19647	prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; present in pet-family-annex.tsv on SkillLine 189 (Pet - Felhunter) as 19647 — class-level, the pet path has no spec granularity
Warlock	Demonology	Axe Toss	89766	prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; present in pet-family-annex.tsv on SkillLine 761 (Pet - Felguard) as 89766 — class-level, the pet path has no spec granularity
Warlock	Demonology	Burning Cleave	1264093	trigger-effect	reached from Antoran Armaments 1251000 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Warlock	Demonology	Marked Soul	450629	trigger-effect	reached from Shared Fate 449704 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Warlock	Demonology	Soul Swipe	1239714	trigger-effect	reached from Demonic Soul 1239715 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Warlock	Demonology	Soulburn: Healthstone	387636	trigger-effect	reached from Gorebound Fortitude 449701 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Warlock	Demonology	Spell Lock	19647	prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; present in pet-family-annex.tsv on SkillLine 189 (Pet - Felhunter) as 19647 — class-level, the pet path has no spec granularity
Warlock	Destruction	Infernal Awakening	22703	trigger-effect	reached from Summon Infernal 1122 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Warlock	Destruction	Spell Lock	19647	prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; present in pet-family-annex.tsv on SkillLine 189 (Pet - Felhunter) as 19647 — class-level, the pet path has no spec granularity
Warrior	Arms	Despawn Axe	222332	trigger-effect	reached from Bladestorm 222330 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Warrior	Arms	Fatal Mark	383704	trigger-effect	reached from Fatality 383703 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Warrior	Arms	Heroic Strike		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; spell endpoint returned no 200 — not evidence of absence
Warrior	Fury	Berserk	1269349	trigger-effect	reached from Rampaging Berserker 1269308 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Warrior	Fury	Crushing Blow		prose-only	asserted in abilities.md; no spec-keyed acquisition row at 12.0.7.67808; not yet probed
Warrior	Fury	Despawn Axe	222332	trigger-effect	reached from Bladestorm 222330 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Warrior	Fury	Gushing Wound	288091	trigger-effect	reached from Cold Steel, Hot Blood 288084 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
Warrior	Fury	Odyn's Fury Off-Hand	385061	trigger-effect	reached from Odyn's Fury 385059 via SpellEffect.EffectTriggerSpell @ 12.0.7.67808
