skill_line	line_name	class	class_id	family	family_id	pet_talent_type	exotic	name	spell_id	castable	cooldown	description_source	description
205	Pet - Succubus	9	9	Incubus, Shivarra, Succubus	17,102,302		false	Lash of Pain	7814	true	0	db2-template	Lashes the target, dealing $s1 Shadow damage.\n\n|cFF777777(Right-Click to toggle)|r
205	Pet - Succubus	9	9	Incubus, Shivarra, Succubus	17,102,302		false	Seduction	6358	true	30	db2-template	Seduces the target, disorienting and causing them to walk towards the demon for $6358d. Damage may break the effect. Only usable against Humanoids.
205	Pet - Succubus	9	9	Incubus, Shivarra, Succubus	17,102,302		false	Lesser Invisibility	7870	true	0	db2-template	Makes the $?s108499[Shivarra][Succubus] invisible for $7870d.  Not usable in combat. Any action will break the effect.\n\n|cFFFFFFFFAuto-Cast:|r\nReapply when the $?s108499[Shivarra][Succubus] leaves combat.\n\n|cFF777777(Right-Click to toggle)|r
205	Pet - Succubus	9	9	Incubus, Shivarra, Succubus	17,102,302		false	Avoidance	32233	false	0	db2-template	Reduces the damage your pet takes from area of effect attacks by an additional $s1%.\nReduces the range at which enemies detect your pet.
206	Pet - Infernal	9	9	Infernal	108		false	Immolation	19483	true	0	db2-template	Burns nearby enemies for $20153s1 fire damage every $t1 sec.
206	Pet - Infernal	9	9	Infernal	108		false	Burning Presence	171011	true	0	db2-template	Intimidates any target you attack, increasing your threat generation.\n\nAlso increases chance to dodge and parry by $s2%, and reduces physical damage taken by $s4%.\n\n|cFFFFFFFFAuto-Cast:|r\nAlways keep this effect active.\n\n|cFF777777(Right-Click to toggle)|r
206	Pet - Infernal	9	9	Infernal	108		false	Meteor Strike	171017	true	60	db2-template	The infernal releases a powerful burst of flames, dealing $s1 Fire damage to nearby targets, and stunning them for $d.
206	Pet - Infernal	9	9	Infernal	108		false	Torch Magic	171021	true	10	db2-template	Purges $s1 beneficial magic effect from an enemy.\n\n|cFFFFFFFFAuto-Cast:|r\nUse on the Infernal's current target.\n\n|cFF777777(Right-Click to toggle)|r
206	Pet - Infernal	9	9	Infernal	108		false	Seethe	171014	true	10	db2-template	The $?s108499[Abyssal][Infernal] taunts the target to attack it.\n\n|cFFFFFFFFAuto-Cast:|r\nTaunts the current target if it is not attacking the $?s108499[Abyssal][Infernal] and taunts any target who attacks its master.\n\n|cFF777777(Right-Click to toggle)|r
206	Pet - Infernal	9	9	Infernal	108		false	Avoidance	190019	false	0	db2-template	Reduces the damage your summoned demon takes from creature area of effect attacks by an additional $s1%.
207	Pet - Doomguard	9	9	Doomguard	19		false	Doom Bolt	85692	true	0	db2-template	Sends a shadowy bolt at the enemy, causing $s1 Shadow damage. Deals $s2% additional damage to targets below 20% health.
207	Pet - Doomguard	9	9	Doomguard	19		false	Shadow Lock	171138	true	24	db2-template	Counter an enemy's spellcast, preventing any spell from that school of magic from being cast for $19647d.
207	Pet - Doomguard	9	9	Doomguard	19		false	Cripple	170995	true	30	db2-template	Cripples the target, reducing movement speed by $s1% for $d (4 sec in PvP).
207	Pet - Doomguard	9	9	Doomguard	19		false	Avoidance	190019	false	0	db2-template	Reduces the damage your summoned demon takes from creature area of effect attacks by an additional $s1%.
208	Pet - Wolf	3	3	Wolf	1	Ferocity	false	Bite	17253	true	3	db2-template	Bite the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
208	Pet - Wolf	3	3	Wolf	1	Ferocity	false	Furious Bite	263840	true	10	db2-template	The Wolf bites the target's feet, reducing movement speed by $s1% for $d.
209	Pet - Cat	3	3	Cat	2	Ferocity	false	Claw	16827	true	3	db2-template	Claw the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
209	Pet - Cat	3	3	Cat	2	Ferocity	false	Prowl	24450	true	10	db2-template	Puts your pet in stealth mode, but slows its movement speed by $s2%. The first attack from stealth receives a $s3% bonus to damage.  Lasts until cancelled.
209	Pet - Cat	3	3	Cat	2	Ferocity	false	Catlike Reflexes	263892	true	90	db2-template	The Cat heightens its senses, increasing dodge chance by $s1% for $d.
210	Pet - Bear	3	3	Bear	4	Tenacity	false	Claw	16827	true	3	db2-template	Claw the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
210	Pet - Bear	3	3	Bear	4	Tenacity	false	Rest	94019	true	0	db2-plain	You command your pet Bear to take a rest.
210	Pet - Bear	3	3	Bear	4	Tenacity	false	Thick Fur	263934	false	0	db2-template	When falling below $s2% health, the Bear's fur will thicken, granting $160058s1% reduced incoming damage for $160058d.\n\nThis effect can only occur once every $s3 sec.
211	Pet - Boar	3	3	Boar	5	Cunning	false	Bite	17253	true	3	db2-template	Bite the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
211	Pet - Boar	3	3	Boar	5	Cunning	false	Bristle	263869	true	60	db2-template	The Boar bristles its hide, reducing damage taken by $s1% for $d.
212	Pet - Crocolisk	3	3	Crocolisk	6	Ferocity	false	Bite	17253	true	3	db2-template	Bite the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
212	Pet - Crocolisk	3	3	Crocolisk	6	Ferocity	false	Ankle Crack	50433	true	10	db2-template	Snap at the target's feet, reducing movement speed by $s1% for $d.
213	Pet - Carrion Bird	3	3	Carrion Bird	7	Ferocity	false	Bite	17253	true	3	db2-template	Bite the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
213	Pet - Carrion Bird	3	3	Carrion Bird	7	Ferocity	false	Bloody Screech	24423	true	6	db2-template	The Carrion Bird screeches, causing Mortal Wounds on the target.\n\n|Tinterface\\icons\\ability_criticalstrike.blp:24|t |cFFFFFFFFMortal Wounds|r\nGrievously wounds the target, reducing the effectiveness of any healing received for $115804d.
214	Pet - Crab	3	3	Crab	8	Tenacity	false	Claw	16827	true	3	db2-template	Claw the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
214	Pet - Crab	3	3	Crab	8	Tenacity	false	Pin	50245	true	10	db2-template	The Crab claws at the target's feet with its pincers, slowing movement by $s1% for $d.
215	Pet - Gorilla	3	3	Gorilla	9	Ferocity	false	Smack	49966	true	3	db2-template	Smack the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
215	Pet - Gorilla	3	3	Gorilla	9	Ferocity	false	Silverback	263939	false	0	db2-template	When falling below $s2% health, the Gorilla will shrug off attacks, granting $160058s1% reduced incoming damage for $160058d.\n\nThis effect can only occur once every $s3 sec.
217	Pet - Raptor	3	3	Raptor	11	Cunning	false	Claw	16827	true	3	db2-template	Claw the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
217	Pet - Raptor	3	3	Raptor	11	Cunning	false	Savage Rend	263854	true	6	db2-template	The Raptor slashes deep into the target, causing Mortal Wounds.\n\n|Tinterface\\icons\\ability_criticalstrike.blp:24|t |cFFFFFFFFMortal Wounds|r\nGrievously wounds the target, reducing the effectiveness of any healing received for $115804d.
218	Pet - Tallstrider	3	3	Tallstrider	12	Ferocity	false	Claw	16827	true	3	db2-template	Claw the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
218	Pet - Tallstrider	3	3	Tallstrider	12	Ferocity	false	Dust Cloud	50285	true	10	db2-template	The Tallstrider kicks up a cloud of dust towards the target, slowing movement by $s1% for $d.
236	Pet - Scorpid	3	3	Scorpid, Zombie	20,56	Ferocity	false	Claw	16827	true	3	db2-template	Claw the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
236	Pet - Scorpid	3	3	Scorpid, Zombie	20,56	Ferocity	false	Deadly Sting	160060	true	6	db2-template	The Scorpion lashes out with its tail, stinging the target and causing the Mortal Wounds effect.\n\n|Tinterface\\icons\\ability_criticalstrike.blp:24|t |cFFFFFFFFMortal Wounds|r\nGrievously wounds the target, reducing the effectiveness of any healing received for $115804d.
251	Pet - Turtle	3	3	Turtle	21	Tenacity	false	Bite	17253	true	3	db2-template	Bite the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
251	Pet - Turtle	3	3	Turtle	21	Tenacity	false	Shell Shield	26064	true	60	db2-template	The Turtle partially withdraws into its shell, reducing damage taken by $s1% for $d.
270	Pet - Generic Hunter	3	3	Aqiri, Basilisk, Bat, Bear, Beetle, Bird of Prey, Blood Beast, Boar, Camel, Carapid, Carrion Bird, Cat, Chimaera, Clefthoof, Core Hound, Courser, Crab, Crocolisk, Devilsaur, Direhorn, Dragonhawk, Feathermane, Fox, Gorilla, Gruffhorn, Hopper, Hound, Hydra, Hyena, Lesser Dragonkin, Lizard, Mammoth, Mechanical, Monkey, Moth, Oxen, Pterrordax, Raptor, Ravager, Ray, Riverbeast, Rodent, Scalehide, Scorpid, Serpent, Shale Beast, Spider, Spirit Beast, Sporebat, Stag, Stone Hound, Tallstrider, Turtle, Warp Stalker, Wasp, Water Strider, Waterfowl, Whiptail, Wind Serpent, Wolf, Worm	1,2,3,4,5,6,7,8,9,11,12,20,21,24,25,26,27,30,31,32,33,34,35,37,38,39,41,42,43,44,45,46,50,51,52,53,55,68,125,126,127,128,129,130,138,150,151,154,156,157,160,288,290,291,292,296,298,299,300,303,315	Cunning/Ferocity/Tenacity	false	Intimidation	24394	true	0	db2-template	Command your pet to intimidate the target, stunning it for $24394d.
270	Pet - Generic Hunter	3	3	Aqiri, Basilisk, Bat, Bear, Beetle, Bird of Prey, Blood Beast, Boar, Camel, Carapid, Carrion Bird, Cat, Chimaera, Clefthoof, Core Hound, Courser, Crab, Crocolisk, Devilsaur, Direhorn, Dragonhawk, Feathermane, Fox, Gorilla, Gruffhorn, Hopper, Hound, Hydra, Hyena, Lesser Dragonkin, Lizard, Mammoth, Mechanical, Monkey, Moth, Oxen, Pterrordax, Raptor, Ravager, Ray, Riverbeast, Rodent, Scalehide, Scorpid, Serpent, Shale Beast, Spider, Spirit Beast, Sporebat, Stag, Stone Hound, Tallstrider, Turtle, Warp Stalker, Wasp, Water Strider, Waterfowl, Whiptail, Wind Serpent, Wolf, Worm	1,2,3,4,5,6,7,8,9,11,12,20,21,24,25,26,27,30,31,32,33,34,35,37,38,39,41,42,43,44,45,46,50,51,52,53,55,68,125,126,127,128,129,130,138,150,151,154,156,157,160,288,290,291,292,296,298,299,300,303,315	Cunning/Ferocity/Tenacity	false	Intimidation	19577	true	60	api	Commands your pet to intimidate the target stunning your target for 5 sec.
270	Pet - Generic Hunter	3	3	Aqiri, Basilisk, Bat, Bear, Beetle, Bird of Prey, Blood Beast, Boar, Camel, Carapid, Carrion Bird, Cat, Chimaera, Clefthoof, Core Hound, Courser, Crab, Crocolisk, Devilsaur, Direhorn, Dragonhawk, Feathermane, Fox, Gorilla, Gruffhorn, Hopper, Hound, Hydra, Hyena, Lesser Dragonkin, Lizard, Mammoth, Mechanical, Monkey, Moth, Oxen, Pterrordax, Raptor, Ravager, Ray, Riverbeast, Rodent, Scalehide, Scorpid, Serpent, Shale Beast, Spider, Spirit Beast, Sporebat, Stag, Stone Hound, Tallstrider, Turtle, Warp Stalker, Wasp, Water Strider, Waterfowl, Whiptail, Wind Serpent, Wolf, Worm	1,2,3,4,5,6,7,8,9,11,12,20,21,24,25,26,27,30,31,32,33,34,35,37,38,39,41,42,43,44,45,46,50,51,52,53,55,68,125,126,127,128,129,130,138,150,151,154,156,157,160,288,290,291,292,296,298,299,300,303,315	Cunning/Ferocity/Tenacity	false	Growl	2649	true	8	db2-plain	Your pet growls at the target, generating threat, taunting the target to attack the pet.
270	Pet - Generic Hunter	3	3	Aqiri, Basilisk, Bat, Bear, Beetle, Bird of Prey, Blood Beast, Boar, Camel, Carapid, Carrion Bird, Cat, Chimaera, Clefthoof, Core Hound, Courser, Crab, Crocolisk, Devilsaur, Direhorn, Dragonhawk, Feathermane, Fox, Gorilla, Gruffhorn, Hopper, Hound, Hydra, Hyena, Lesser Dragonkin, Lizard, Mammoth, Mechanical, Monkey, Moth, Oxen, Pterrordax, Raptor, Ravager, Ray, Riverbeast, Rodent, Scalehide, Scorpid, Serpent, Shale Beast, Spider, Spirit Beast, Sporebat, Stag, Stone Hound, Tallstrider, Turtle, Warp Stalker, Wasp, Water Strider, Waterfowl, Whiptail, Wind Serpent, Wolf, Worm	1,2,3,4,5,6,7,8,9,11,12,20,21,24,25,26,27,30,31,32,33,34,35,37,38,39,41,42,43,44,45,46,50,51,52,53,55,68,125,126,127,128,129,130,138,150,151,154,156,157,160,288,290,291,292,296,298,299,300,303,315	Cunning/Ferocity/Tenacity	false	Pet Damage	8875	false	0	none	
270	Pet - Generic Hunter	3	3	Aqiri, Basilisk, Bat, Bear, Beetle, Bird of Prey, Blood Beast, Boar, Camel, Carapid, Carrion Bird, Cat, Chimaera, Clefthoof, Core Hound, Courser, Crab, Crocolisk, Devilsaur, Direhorn, Dragonhawk, Feathermane, Fox, Gorilla, Gruffhorn, Hopper, Hound, Hydra, Hyena, Lesser Dragonkin, Lizard, Mammoth, Mechanical, Monkey, Moth, Oxen, Pterrordax, Raptor, Ravager, Ray, Riverbeast, Rodent, Scalehide, Scorpid, Serpent, Shale Beast, Spider, Spirit Beast, Sporebat, Stag, Stone Hound, Tallstrider, Turtle, Warp Stalker, Wasp, Water Strider, Waterfowl, Whiptail, Wind Serpent, Wolf, Worm	1,2,3,4,5,6,7,8,9,11,12,20,21,24,25,26,27,30,31,32,33,34,35,37,38,39,41,42,43,44,45,46,50,51,52,53,55,68,125,126,127,128,129,130,138,150,151,154,156,157,160,288,290,291,292,296,298,299,300,303,315	Cunning/Ferocity/Tenacity	false	Pet Health	19581	false	0	none	
270	Pet - Generic Hunter	3	3	Aqiri, Basilisk, Bat, Bear, Beetle, Bird of Prey, Blood Beast, Boar, Camel, Carapid, Carrion Bird, Cat, Chimaera, Clefthoof, Core Hound, Courser, Crab, Crocolisk, Devilsaur, Direhorn, Dragonhawk, Feathermane, Fox, Gorilla, Gruffhorn, Hopper, Hound, Hydra, Hyena, Lesser Dragonkin, Lizard, Mammoth, Mechanical, Monkey, Moth, Oxen, Pterrordax, Raptor, Ravager, Ray, Riverbeast, Rodent, Scalehide, Scorpid, Serpent, Shale Beast, Spider, Spirit Beast, Sporebat, Stag, Stone Hound, Tallstrider, Turtle, Warp Stalker, Wasp, Water Strider, Waterfowl, Whiptail, Wind Serpent, Wolf, Worm	1,2,3,4,5,6,7,8,9,11,12,20,21,24,25,26,27,30,31,32,33,34,35,37,38,39,41,42,43,44,45,46,50,51,52,53,55,68,125,126,127,128,129,130,138,150,151,154,156,157,160,288,290,291,292,296,298,299,300,303,315	Cunning/Ferocity/Tenacity	false	Hunter Pet	34902	false	0	none	
270	Pet - Generic Hunter	3	3	Aqiri, Basilisk, Bat, Bear, Beetle, Bird of Prey, Blood Beast, Boar, Camel, Carapid, Carrion Bird, Cat, Chimaera, Clefthoof, Core Hound, Courser, Crab, Crocolisk, Devilsaur, Direhorn, Dragonhawk, Feathermane, Fox, Gorilla, Gruffhorn, Hopper, Hound, Hydra, Hyena, Lesser Dragonkin, Lizard, Mammoth, Mechanical, Monkey, Moth, Oxen, Pterrordax, Raptor, Ravager, Ray, Riverbeast, Rodent, Scalehide, Scorpid, Serpent, Shale Beast, Spider, Spirit Beast, Sporebat, Stag, Stone Hound, Tallstrider, Turtle, Warp Stalker, Wasp, Water Strider, Waterfowl, Whiptail, Wind Serpent, Wolf, Worm	1,2,3,4,5,6,7,8,9,11,12,20,21,24,25,26,27,30,31,32,33,34,35,37,38,39,41,42,43,44,45,46,50,51,52,53,55,68,125,126,127,128,129,130,138,150,151,154,156,157,160,288,290,291,292,296,298,299,300,303,315	Cunning/Ferocity/Tenacity	false	Avoidance	65220	false	0	db2-template	Reduces the damage your pet takes from area of effect attacks by an additional $s1%.\nReduces the range at which enemies detect your pet.
270	Pet - Generic Hunter	3	3	Aqiri, Basilisk, Bat, Bear, Beetle, Bird of Prey, Blood Beast, Boar, Camel, Carapid, Carrion Bird, Cat, Chimaera, Clefthoof, Core Hound, Courser, Crab, Crocolisk, Devilsaur, Direhorn, Dragonhawk, Feathermane, Fox, Gorilla, Gruffhorn, Hopper, Hound, Hydra, Hyena, Lesser Dragonkin, Lizard, Mammoth, Mechanical, Monkey, Moth, Oxen, Pterrordax, Raptor, Ravager, Ray, Riverbeast, Rodent, Scalehide, Scorpid, Serpent, Shale Beast, Spider, Spirit Beast, Sporebat, Stag, Stone Hound, Tallstrider, Turtle, Warp Stalker, Wasp, Water Strider, Waterfowl, Whiptail, Wind Serpent, Wolf, Worm	1,2,3,4,5,6,7,8,9,11,12,20,21,24,25,26,27,30,31,32,33,34,35,37,38,39,41,42,43,44,45,46,50,51,52,53,55,68,125,126,127,128,129,130,138,150,151,154,156,157,160,288,290,291,292,296,298,299,300,303,315	Cunning/Ferocity/Tenacity	false	Kindred Spirits	88680	false	0	none	
270	Pet - Generic Hunter	3	3	Aqiri, Basilisk, Bat, Bear, Beetle, Bird of Prey, Blood Beast, Boar, Camel, Carapid, Carrion Bird, Cat, Chimaera, Clefthoof, Core Hound, Courser, Crab, Crocolisk, Devilsaur, Direhorn, Dragonhawk, Feathermane, Fox, Gorilla, Gruffhorn, Hopper, Hound, Hydra, Hyena, Lesser Dragonkin, Lizard, Mammoth, Mechanical, Monkey, Moth, Oxen, Pterrordax, Raptor, Ravager, Ray, Riverbeast, Rodent, Scalehide, Scorpid, Serpent, Shale Beast, Spider, Spirit Beast, Sporebat, Stag, Stone Hound, Tallstrider, Turtle, Warp Stalker, Wasp, Water Strider, Waterfowl, Whiptail, Wind Serpent, Wolf, Worm	1,2,3,4,5,6,7,8,9,11,12,20,21,24,25,26,27,30,31,32,33,34,35,37,38,39,41,42,43,44,45,46,50,51,52,53,55,68,125,126,127,128,129,130,138,150,151,154,156,157,160,288,290,291,292,296,298,299,300,303,315	Cunning/Ferocity/Tenacity	false	Dash	61684	true	20	db2-template	Increases your pet's movement speed by $s1% for $d.
653	Pet - Bat	3	3	Bat	24	Ferocity	false	Sonic Screech	344348	true	10	db2-template	The Bat emits a sonic pulse from within, removing $s1 Disease, Magic, and Poison effect from itself.
653	Pet - Bat	3	3	Bat	24	Ferocity	false	Bite	17253	true	3	db2-template	Bite the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
654	Pet - Hyena	3	3	Hyena	25	Cunning	false	Bite	17253	true	3	db2-template	Bite the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
654	Pet - Hyena	3	3	Hyena	25	Cunning	false	Infected Bite	263853	true	6	db2-template	The Hyena sinks its fangs into the target, infecting the target with Mortal Wounds.\n\n|Tinterface\\icons\\ability_criticalstrike.blp:24|t |cFFFFFFFFMortal Wounds|r\nGrievously wounds the target, reducing the effectiveness of any healing received for $115804d.
655	Pet - Bird of Prey	3	3	Bird of Prey	26	Cunning	false	Claw	16827	true	3	db2-template	Claw the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
655	Pet - Bird of Prey	3	3	Bird of Prey	26	Cunning	false	Trick	94022	true	0	db2-plain	You command your Bird of Prey to do a trick. Larger birds may not be interested.
655	Pet - Bird of Prey	3	3	Bird of Prey	26	Cunning	false	Talon Rend	263852	true	10	db2-template	The Bird of Prey claws at the target's feet, reducing movement speed by $s1% for $d.
656	Pet - Wind Serpent	3	3	Wind Serpent	27	Ferocity	false	Bite	17253	true	3	db2-template	Bite the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
656	Pet - Wind Serpent	3	3	Wind Serpent	27	Ferocity	false	Winged Agility	264360	true	90	db2-template	The Wind Serpent takes on a defensive posture, increasing dodge chance by $s1% for $d.
758	Pet - Event - Remote Control	UNRESOLVED	UNRESOLVED	Remote Control	28		false	Flamethrower	25027	true	2	db2-template	10 mana per second.\nDeals $25029s1 damage every $t1 sec to all tonks in front of you within $25029a1 yards. Also slows movement to $25029s2% and deals $25029s3 damage per second for $25029d.
758	Pet - Event - Remote Control	UNRESOLVED	UNRESOLVED	Remote Control	28		false	Activate MG Turret	25026	true	10	db2-template	10 mana per second.\nAutomatically fires a shot at the nearest enemy tonk within $25032a1 yards every $t1 sec, dealing $25032s1 damage per shot.
761	Pet - Felguard	9	9	Felguard, Wrathguard	29,104		false	Pursuit	30151	true	15	db2-template	The Felguard charges an enemy, causing $<damage> Physical damage and increasing its movement speed by $30151s3% for $30151d.\n\n|cFFFFFFFFAuto-Cast:|r\nUse anytime the $?s108499[Wrathguard][Felguard]'s target is further than 8 yards away.\n\n|cFF777777(Right-Click to toggle)|r
761	Pet - Felguard	9	9	Felguard, Wrathguard	29,104		false	Pursuit	30153	true	0	db2-template	Charge an enemy, instantly causing $30153m1% weapon damage and increasing the $?s108499[Wrathguard][Felguard]'s movement speed by $30151s3% for $30151d.\n\n|cFFFFFFFFAuto-Cast:|r\nUse anytime the $?s108499[Wrathguard][Felguard]'s target is further than 8 yards away.\n\n|cFF777777(Right-Click to toggle)|r
761	Pet - Felguard	9	9	Felguard, Wrathguard	29,104		false	Legion Strike	30213	true	0	db2-template	A strong attack that deals $<damage> damage to all enemies in front of it, and reduces the effectiveness of any healing the victim receives by $s2% for $d.\n\n|cFF777777(Right-Click to toggle)|r
761	Pet - Felguard	9	9	Felguard, Wrathguard	29,104		false	Avoidance	32233	false	0	db2-template	Reduces the damage your pet takes from area of effect attacks by an additional $s1%.\nReduces the range at which enemies detect your pet.
761	Pet - Felguard	9	9	Felguard, Wrathguard	29,104		false	Felstorm	89751	true	30	db2-template	The Felguard recklessly swings its weapon, striking all nearby enemies within $89753A1 yards for $<damage> Physical damage every $t1 sec for $89751d. The Felguard cannot take any other action during Felstorm. Deals reduced damage beyond $89753s3 targets.
761	Pet - Felguard	9	9	Felguard, Wrathguard	29,104		false	Axe Toss	89766	true	30	db2-template	The $?s108499[Wrathguard][Felguard] hurls its weapon, stunning and interrupting the target for $89766d.
761	Pet - Felguard	9	9	Felguard, Wrathguard	29,104		false	Void Reflexes	117225	false	0	db2-template	Life in the twisting nether has made this demon particularly agile, increasing its chance to dodge and parry by $s1%.
761	Pet - Felguard	9	9	Felguard, Wrathguard	29,104		false	Threatening Presence	134477	true	0	db2-plain	Intimidates any target the Felguard attacks, increasing threat generation.\n\n|cFFFFFFFFAuto-Cast:|r\nAlways keep this effect active.\n\n|cFF777777(Right-Click to toggle)|r
763	Pet - Dragonhawk	3	3	Dragonhawk	30	Tenacity	false	Bite	17253	true	3	db2-template	Bite the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
763	Pet - Dragonhawk	3	3	Dragonhawk	30	Tenacity	false	Dragon's Guile	263887	true	90	db2-template	The Dragonhawk takes on a defensive posture, increasing dodge chance by $s1% for $d.
764	Pet - Nether Ray	3	3	Ray	34	Ferocity	false	Bite	17253	true	3	db2-template	Bite the enemy, causing ${$<damage>} damage. Deals $62762s2% more damage and costs $62762s1% more Focus when your pet has $62762s3 or more Focus.
