class	class_id	spec	spec_id	tree	hero_tree	node_id	node_type	entry_id	talent	spell_id	max_ranks	req_points	row	col	choice_group	prereq_node_ids	serial_order	choice_index
death-knight	6	blood	250	class		76088	PASSIVE	96217	Osmosis	454835	1	23	9	1		76087	44	0
death-knight	6	blood	250	class		76051	PASSIVE	96179	Insidious Chill	391566	1	23	9	3		76078,76087	12	0
death-knight	6	blood	250	class		76055	PASSIVE	96183	Runic Protection	454788	1	23	9	5		76058,76078	16	0
death-knight	6	blood	250	class		76056	PASSIVE	96184	Blood Draw	374598	1	23	9	7		76058	17	0
death-knight	6	blood	250	class		76079	PASSIVE	96208	Rune Mastery	374574	2	23	10	2		76051,76088	36	0
death-knight	6	blood	250	class		76080	PASSIVE	96209	Subduing Grasp	454822	1	23	10	4		76055,76051	37	0
death-knight	6	blood	250	class		76054	PASSIVE	96182	Will of the Necropolis	206967	2	23	10	6		76055,76056	15	0
death-knight	6	blood	250	class		102008	PASSIVE	126016	Null Magic	454842	1	23	11	1		76079	172	0
death-knight	6	blood	250	class		76050	PASSIVE	96178	Unyielding Will	457574	1	23	11	3		76080,76079	11	0
death-knight	6	blood	250	class		102007	PASSIVE	126015	Death's Echo	356367	1	23	11	5		76080,76054	171	0
death-knight	6	blood	250	class		76053	PASSIVE	96181	Vestigial Shell	454851	1	23	11	7		76054	14	0
death-knight	6	blood	250	spec		76169	ACTIVE	96304	Heart Strike	206930	1		2	18			105	0
death-knight	6	blood	250	spec		76168	ACTIVE	96303	Marrowrend	195182	1		3	17		76169	104	0
death-knight	6	blood	250	spec		76170	ACTIVE	96305	Blood Boil	50842	1		3	19		76169	106	0
death-knight	6	blood	250	spec		76173	ACTIVE	96308	Vampiric Blood	55233	1		4	17		76168	109	0
death-knight	6	blood	250	spec		76171	PASSIVE	96306	Bone Collector	458572	1		4	19		76170	107	0
death-knight	6	blood	250	spec		76144	PASSIVE	96277	Ossuary	219786	1		5	16		76173	90	0
death-knight	6	blood	250	spec		76140	PASSIVE	96272	Improved Vampiric Blood	317133	2		5	17		76173	86	0
death-knight	6	blood	250	spec		76126	PASSIVE	96257	Improved Heart Strike	374717	2		5	19		76171	74	0
death-knight	6	blood	250	spec		76146	PASSIVE	96279	Relish in Blood	317610	1		5	20		76171	92	0
death-knight	6	blood	250	spec		76145	PASSIVE	96278	Leeching Strike	377629	1	8	6	15		76144	91	0
death-knight	6	blood	250	spec		76135	PASSIVE	96266	Heartbreaker	221536	1	8	6	16		76144	82	0
death-knight	6	blood	250	spec		76167	PASSIVE	96302	Foul Bulwark	206974	1	8	6	17		76140,76144	103	0
death-knight	6	blood	250	spec		76138	ACTIVE	96269	Dancing Rune Weapon	49028	1	8	6	18		76140,76126	84	0
death-knight	6	blood	250	spec		76137	PASSIVE	96268	Hemostasis	273946	1	8	6	19		76126,76146	83	0
death-knight	6	blood	250	spec		76124	PASSIVE	96255	Perseverance of the Ebon Blade	374747	1	8	6	20		76146	72	0
death-knight	6	blood	250	spec		76147	PASSIVE	96280	Bloodworms	195679	1	8	6	21		76146	93	0
death-knight	6	blood	250	spec		76042	CHOICE	96170	Gorefiend's Grasp	108199	1	8	7	16	76042	76145,76135,76167	5	0
death-knight	6	blood	250	spec		76042	CHOICE	136213	Abomination Limb	1263569	1	8	7	16	76042	76145,76135,76167	5	1
death-knight	6	blood	250	spec		76142	PASSIVE	96274	Improved Bone Shield	374715	1	8	7	17		76138,76167	88	0
death-knight	6	blood	250	spec		76129	PASSIVE	96260	Insatiable Blade	377637	1	8	7	18		76138	77	0
death-knight	6	blood	250	spec		76166	PASSIVE	96301	Deadly Reach	1264235	1	8	7	19		76137,76138	102	0
death-knight	6	blood	250	spec		76141	PASSIVE	96273	Rapid Decomposition	194662	1	8	7	20		76147,76124,76137	87	0
death-knight	6	blood	250	spec		76039	PASSIVE	96167	Boiling Point	1265790	1	8	8	15		76042,76145	2	0
death-knight	6	blood	250	spec		76143	PASSIVE	96276	Lifeblood	1264296	1	8	8	17		76129,76142,76042	89	0
death-knight	6	blood	250	spec		76130	PASSIVE	96261	Everlasting Bond	377668	1	8	8	18		76129	78	0
death-knight	6	blood	250	spec		76043	PASSIVE	96171	Voracious	273953	1	8	8	19		76129,76141,76166	6	0
death-knight	6	blood	250	spec		76174	PASSIVE	96309	Blood Feast	391386	1	8	8	21		76141,76147	110	0
death-knight	6	blood	250	spec		102243	PASSIVE	126298	Plague Infusion	1265869	1	20	9	16		76039,76143	175	0
death-knight	6	blood	250	spec		76139	PASSIVE	96271	Bloody Reflection	1279633	1	20	9	17		76143	85	0
death-knight	6	blood	250	spec		76172	PASSIVE	96307	Iron Heart	391395	1	20	9	18		76043,76130,76143	108	0
death-knight	6	blood	250	spec		102242	PASSIVE	126296	Bloodied Blade	458753	1	20	9	19		76043	174	0
death-knight	6	blood	250	spec		76041	PASSIVE	96169	Coagulopathy	391477	1	20	9	20		76174,76043	4	0
death-knight	6	blood	250	spec		76128	PASSIVE	96259	Blood Mist	1263743	1	20	10	16		102243	76	0
death-knight	6	blood	250	spec		76131	PASSIVE	96262	Sanguine Ground	391458	1	20	10	17		76139,76172	79	0
death-knight	6	blood	250	spec		76125	PASSIVE	96256	Bloodshot	391398	1	20	10	18		76172	73	0
death-knight	6	blood	250	spec		102244	ACTIVE	126300	Consumption	1263824	1	20	10	19		102242,76172	176	0
death-knight	6	blood	250	spec		76132	PASSIVE	96263	Red Thirst	205723	1	20	10	20		76041	80	0
death-knight	6	blood	250	spec		76127	PASSIVE	96258	Sanguinary Burst	1263781	1	20	11	16		76128	75	0
death-knight	6	blood	250	spec		76133	PASSIVE	96264	Purgatory	114556	1	20	11	17		76131	81	0
death-knight	6	blood	250	spec		102245	PASSIVE	126301	Carnage	458752	1	20	11	19		102244	177	0
death-knight	6	blood	250	spec		76040	PASSIVE	96168	Umbilicus Eternus	391517	1	20	11	20		76132	3	0
death-knight	6	blood	250	spec		110353	ACTIVE	136917	Dance of Midnight	1264506	1	20	12	18			203	0
death-knight	6	blood	250	hero	Deathbringer	95062	ACTIVE	117659	Reaper's Mark	439843	1		2	10			154	0
death-knight	6	blood	250	hero	Deathbringer	95036	PASSIVE	117633	Wave of Souls	439851	1		3	9		95062	132	0
death-knight	6	blood	250	hero	Deathbringer	95058	PASSIVE	117655	Wither Away	441894	1		3	10		95062	150	0
death-knight	6	blood	250	hero	Deathbringer	95043	PASSIVE	117640	Bind in Darkness	440031	1		3	11		95062	137	0
death-knight	6	blood	250	hero	Deathbringer	109735	PASSIVE	135993	Frigid Resolve	1265859	1		3	12		95062	192	0
death-knight	6	blood	250	hero	Deathbringer	95061	PASSIVE	117658	Soul Rupture	437161	1		4	9		95036	153	0
death-knight	6	blood	250	hero	Deathbringer	95034	PASSIVE	117631	Grim Reaper	434905	1		4	10		95058	130	0
death-knight	6	blood	250	hero	Deathbringer	95035	CHOICE	117632	Pact of the Deathbringer	440476	1		4	11	95035	95043	131	0
death-knight	6	blood	250	hero	Deathbringer	95035	CHOICE	123420	Rune Carved Plates	440282	1		4	11	95035	95043	131	1
death-knight	6	blood	250	hero	Deathbringer	109734	PASSIVE	135992	Deathly Blows	1265932	1		4	12		109735	191	0
death-knight	6	blood	250	hero	Deathbringer	95032	PASSIVE	117629	Swift and Painful	443560	1		5	9		95061	128	0
death-knight	6	blood	250	hero	Deathbringer	95057	CHOICE	117654	Dark Talons	436687	1		5	10	95057	95034	149	0
death-knight	6	blood	250	hero	Deathbringer	95057	CHOICE	128266	Reaper's Onslaught	469870	1		5	10	95057	95034	149	1
death-knight	6	blood	250	hero	Deathbringer	95049	CHOICE	117646	Death's Messenger	437122	1		5	11	95049	95035	143	0
death-knight	6	blood	250	hero	Deathbringer	95049	CHOICE	128234	Expelling Shield	439948	1		5	11	95049	95035	143	1
death-knight	6	blood	250	hero	Deathbringer	109733	PASSIVE	135991	Echoing Fury	1265855	1		5	12		109734	190	0
death-knight	6	blood	250	hero	Deathbringer	95068	PASSIVE	117665	Exterminate	441378	1		6	10		95057,95032,95049,109733	160	0
death-knight	6	blood	250	hero	San'layn	95051	PASSIVE	117648	Vampiric Strike	433901	1		2	23			144	0
death-knight	6	blood	250	hero	San'layn	95064	CHOICE	117661	Newly Turned	433934	1		3	21	95064	95051	156	0
death-knight	6	blood	250	hero	San'layn	95064	CHOICE	117892	Vampiric Speed	434028	1		3	21	95064	95051	156	1
death-knight	6	blood	250	hero	San'layn	95048	CHOICE	117645	Blood-Soaked Ground	434033	1		3	22	95048	95051	142	0
death-knight	6	blood	250	hero	San'layn	95048	CHOICE	136836	Desecrate	1234559	1		3	22	95048	95051	142	1
death-knight	6	blood	250	hero	San'layn	95056	CHOICE	117653	Vampiric Aura	434100	1		3	23	95056	95051	148	0
death-knight	6	blood	250	hero	San'layn	95056	CHOICE	117891	Bloody Fortitude	434136	1		3	23	95056	95051	148	1
death-knight	6	blood	250	hero	San'layn	109737	PASSIVE	135995	Thrill of Blood	1265547	1		3	24		95051	194	0
death-knight	6	blood	250	hero	San'layn	95033	PASSIVE	117630	Infliction of Sorrow	434143	1		4	21		95064	129	0
death-knight	6	blood	250	hero	San'layn	95065	PASSIVE	117662	Frenzied Bloodthirst	434075	1		4	22		95048	157	0
death-knight	6	blood	250	hero	San'layn	95046	PASSIVE	117643	The Blood is Life	434260	1		4	23		95056	140	0
death-knight	6	blood	250	hero	San'layn	109738	PASSIVE	135996	Visceral Strength	434157	1		4	24		109737	195	0
death-knight	6	blood	250	hero	San'layn	95045	PASSIVE	117642	Inevitable	1280658	1		5	21		95033	139	0
death-knight	6	blood	250	hero	San'layn	95040	PASSIVE	117637	Incite Terror	434151	1		5	22		95065	134	0
death-knight	6	blood	250	hero	San'layn	95055	CHOICE	117652	Pact of the San'layn	434261	1		5	23	95055	95046	147	0
death-knight	6	blood	250	hero	San'layn	95055	CHOICE	117893	Sanguine Scent	434263	1		5	23	95055	95046	147	1
death-knight	6	blood	250	hero	San'layn	109736	PASSIVE	135994	Transfusion	1265574	1		5	24		109738	193	0
death-knight	6	blood	250	hero	San'layn	95053	PASSIVE	117650	Gift of the San'layn	434152	1		6	23		95040,95045,95055,109736	145	0
death-knight	6	frost	251	class		76081	ACTIVE	96210	Icebound Fortitude	48792	1		2	2			38	0
death-knight	6	frost	251	class		76071	ACTIVE	96200	Death Strike	49998	1		2	4			29	0
death-knight	6	frost	251	class		76072	ACTIVE	96201	Raise Dead	46585	1		2	6			30	0
death-knight	6	frost	251	class		76045	PASSIVE	96173	Runic Attenuation	207104	1		3	2		76081	8	0
death-knight	6	frost	251	class		76067	PASSIVE	96196	Improved Death Strike	374277	1		3	4		76071	26	0
death-knight	6	frost	251	class		76073	PASSIVE	96202	Cleaving Strikes	316916	1		3	6		76072	31	0
death-knight	6	frost	251	class		76084	ACTIVE	96213	Mind Freeze	47528	1		4	1		76045	40	0
death-knight	6	frost	251	class		76044	ACTIVE	96172	Blinding Sleet	207167	1		4	2		76045	7	0
death-knight	6	frost	251	class		76052	PASSIVE	96180	Gloom Ward	391571	2		4	3		76045,76067	13	0
death-knight	6	frost	251	class		76074	CHOICE	96203	March of Darkness	391546	1		4	4	76074	76067	32	0
death-knight	6	frost	251	class		76074	CHOICE	133518	Wraith Walk	212552	1		4	4	76074	76067	32	1
death-knight	6	frost	251	class		76069	PASSIVE	96198	Unholy Momentum	374265	2		4	5		76073,76067	28	0
death-knight	6	frost	251	class		76059	ACTIVE	96188	Control Undead	111673	1		4	6		76073	20	0
death-knight	6	frost	251	class		110029	PASSIVE	136523	Enfeeble	392566	1		4	7		76073	199	0
death-knight	6	frost	251	class		76083	PASSIVE	96212	Coldthirst	378848	1		5	1		76084	39	0
death-knight	6	frost	251	class		101708	PASSIVE	125606	Proliferating Chill	373930	1		5	2		76084,76044,76052	164	0
death-knight	6	frost	251	class		76066	PASSIVE	96195	Permafrost	207200	1		5	3		76052	25	0
death-knight	6	frost	251	class		76068	PASSIVE	96197	Veteran of the Third War	48263	1		5	4		76069,76074,76052	27	0
death-knight	6	frost	251	class		76075	ACTIVE	96204	Death Pact	48743	1		5	5		76069	33	0
death-knight	6	frost	251	class		76061	PASSIVE	96190	Brittle	374504	1		5	6		76069,76059,110029	22	0
death-knight	6	frost	251	class		76060	PASSIVE	96189	Blood Bond	1267028	1		5	7		110029	21	0
death-knight	6	frost	251	class		76085	PASSIVE	96214	Icy Talons	194878	1	8	6	2		76066,101708,76083	41	0
death-knight	6	frost	251	class		110030	PASSIVE	136524	Death Notes	1266819	1	8	6	3		76066	200	0
death-knight	6	frost	251	class		76065	ACTIVE	96194	Anti-Magic Zone	51052	1	8	6	4		76068,76075,76066	24	0
death-knight	6	frost	251	class		110031	PASSIVE	136525	Death Defiance	1266818	1	8	6	5		76075	201	0
death-knight	6	frost	251	class		76076	PASSIVE	96205	Unholy Bond	374261	1	8	6	6		76075,76061,76060	34	0
death-knight	6	frost	251	class		76086	PASSIVE	96215	Ice Prison	454786	1	8	7	1		76085	42	0
death-knight	6	frost	251	class		76064	CHOICE	96193	Asphyxiate	221562	1	8	7	3	76064	76085,76065,110030	23	0
death-knight	6	frost	251	class		76064	CHOICE	136526	Death's Reach	276079	1	8	7	3	76064	76085,76065,110030	23	1
death-knight	6	frost	251	class		76048	PASSIVE	96176	Assimilation	374383	1	8	7	4		76065	10	0
death-knight	6	frost	251	class		76046	PASSIVE	96174	Anti-Magic Barrier	205727	1	8	7	5		110031,76076,76065	9	0
death-knight	6	frost	251	class		76057	PASSIVE	96186	Grip of the Dead	273952	1	8	7	7		76076	18	0
death-knight	6	frost	251	class		76087	PASSIVE	96216	Suppression	374049	1	8	8	2		76086,76064	43	0
death-knight	6	frost	251	class		76078	PASSIVE	96207	Blood Scent	374030	1	8	8	4		76048,76064,76046	35	0
death-knight	6	frost	251	class		76058	PASSIVE	96187	Unholy Endurance	389682	1	8	8	6		76057,76046	19	0
death-knight	6	frost	251	class		76088	PASSIVE	96217	Osmosis	454835	1	23	9	1		76087	44	0
death-knight	6	frost	251	class		76051	PASSIVE	96179	Insidious Chill	391566	1	23	9	3		76078,76087	12	0
death-knight	6	frost	251	class		76055	PASSIVE	96183	Runic Protection	454788	1	23	9	5		76058,76078	16	0
death-knight	6	frost	251	class		76056	PASSIVE	96184	Blood Draw	374598	1	23	9	7		76058	17	0
death-knight	6	frost	251	class		76079	PASSIVE	96208	Rune Mastery	374574	2	23	10	2		76051,76088	36	0
death-knight	6	frost	251	class		76080	PASSIVE	96209	Subduing Grasp	454822	1	23	10	4		76055,76051	37	0
death-knight	6	frost	251	class		76054	PASSIVE	96182	Will of the Necropolis	206967	2	23	10	6		76055,76056	15	0
death-knight	6	frost	251	class		102008	PASSIVE	126016	Null Magic	454842	1	23	11	1		76079	172	0
death-knight	6	frost	251	class		76050	PASSIVE	96178	Unyielding Will	457574	1	23	11	3		76080,76079	11	0
death-knight	6	frost	251	class		102007	PASSIVE	126015	Death's Echo	356367	1	23	11	5		76080,76054	171	0
death-knight	6	frost	251	class		76053	PASSIVE	96181	Vestigial Shell	454851	1	23	11	7		76054	14	0
death-knight	6	frost	251	spec		76115	ACTIVE	96245	Frost Strike	49143	1		2	18			65	0
death-knight	6	frost	251	spec		76116	ACTIVE	96246	Obliterate	49020	1		3	17		76115	66	0
death-knight	6	frost	251	spec		76114	ACTIVE	96244	Howling Blast	49184	1		3	19		76115	64	0
death-knight	6	frost	251	spec		76117	PASSIVE	96247	Killing Machine	51128	1		4	16		76116	67	0
death-knight	6	frost	251	spec		76096	ACTIVE	96225	Empower Rune Weapon	47568	1		4	18		76116,76114	50	0
death-knight	6	frost	251	spec		76113	ACTIVE	96243	Frostscythe	207230	1		4	20		76114	63	0
death-knight	6	frost	251	spec		76118	PASSIVE	96248	Arctic Assault	456230	1		5	16		76117	68	0
death-knight	6	frost	251	spec		76103	PASSIVE	96233	Runic Overflow	316803	2		5	17		76096,76117	56	0
death-knight	6	frost	251	spec		109258	PASSIVE	133362	Frostbound Will	1238680	1		5	18		76096	187	0
death-knight	6	frost	251	spec		76102	PASSIVE	96232	Runic Command	376251	2		5	19		76113,76096	55	0
death-knight	6	frost	251	spec		76112	PASSIVE	96242	Biting Cold	377056	1		5	20		76113	62	0
death-knight	6	frost	251	spec		76100	PASSIVE	96230	Inexorable Assault	253593	1	8	6	15		76118	53	0
death-knight	6	frost	251	spec		76098	PASSIVE	96228	Frostreaper	1230301	1	8	6	17		76103,76118,109258	51	0
death-knight	6	frost	251	spec		101929	ACTIVE	125874	Pillar of Frost	51271	1	8	6	18		109258	166	0
death-knight	6	frost	251	spec		106791	PASSIVE	131619	Icy Onslaught	1230272	1	8	6	19		76112,76102,109258	179	0
death-knight	6	frost	251	spec		76110	PASSIVE	96240	Gathering Storm	194912	1	8	6	21		76112	61	0
death-knight	6	frost	251	spec		76121	PASSIVE	96252	Murderous Efficiency	207061	1	8	7	16		76118,76098,76100	69	0
death-knight	6	frost	251	spec		101931	PASSIVE	125876	Rage of the Frozen Champion	377076	1	8	7	17		101929	168	0
death-knight	6	frost	251	spec		101930	PASSIVE	125875	Enduring Strength	377190	1	8	7	18		101929	167	0
death-knight	6	frost	251	spec		102009	PASSIVE	126017	Frozen Dominion	377226	1	8	7	19		101929	173	0
death-knight	6	frost	251	spec		76092	PASSIVE	96221	Frigid Executioner	377073	1	8	7	20		106791,76110,76112	46	0
death-knight	6	frost	251	spec		76037	PASSIVE	96165	Howling Blades	1230223	1	8	8	15		76100,76121	1	0
death-knight	6	frost	251	spec		106790	PASSIVE	131618	Cryogenic Chamber	456237	1	8	8	16		101931,76121	178	0
death-knight	6	frost	251	spec		76106	ACTIVE	96236	Frostwyrm's Fury	279302	1	8	8	18		101930,102009,101931	58	0
death-knight	6	frost	251	spec		76099	PASSIVE	96229	Everfrost	376938	1	8	8	20		76092,102009	52	0
death-knight	6	frost	251	spec		76109	PASSIVE	96239	Northwinds	1230284	1	8	8	21		76110,76092	60	0
death-knight	6	frost	251	spec		76122	PASSIVE	96253	Bonegrinder	377098	2	20	9	16		106790,76037	70	0
death-knight	6	frost	251	spec		76101	PASSIVE	96231	Smothering Offense	435005	1	20	9	17		106790,101931,76106	54	0
death-knight	6	frost	251	spec		76105	PASSIVE	96235	Avalanche	207142	1	20	9	19		76099,102009,76106	57	0
death-knight	6	frost	251	spec		76033	PASSIVE	96161	Icebreaker	392950	2	20	9	20		76109,76099	0	0
death-knight	6	frost	251	spec		76091	PASSIVE	96220	Obliteration	281238	1	20	10	15		76122	45	0
death-knight	6	frost	251	spec		101933	PASSIVE	125878	Icy Death Torrent	435010	1	20	10	17		76101,76122	170	0
death-knight	6	frost	251	spec		76095	PASSIVE	96224	Shattering Blade	207057	1	20	10	19		76105,76033	49	0
death-knight	6	frost	251	spec		76108	PASSIVE	96238	Hyperpyrexia	456238	1	20	10	21		76033	59	0
death-knight	6	frost	251	spec		76123	PASSIVE	96254	Killing Streak	1230153	1	20	11	15		76091	71	0
death-knight	6	frost	251	spec		101932	PASSIVE	125877	The Long Winter	456240	1	20	11	17		101933	169	0
death-knight	6	frost	251	spec		76094	PASSIVE	96223	Frostbane	455993	1	20	11	19		76095	48	0
death-knight	6	frost	251	spec		76093	ACTIVE	96222	Breath of Sindragosa	1249658	1	20	11	21		76108	47	0
death-knight	6	frost	251	spec		110400	ACTIVE	136968	Chosen of Frostbrood	1265632	1	20	12	18			205	0
death-knight	6	frost	251	hero	Deathbringer	95062	ACTIVE	117659	Reaper's Mark	439843	1		2	10			154	0
death-knight	6	frost	251	hero	Deathbringer	95036	PASSIVE	117633	Wave of Souls	439851	1		3	9		95062	132	0
death-knight	6	frost	251	hero	Deathbringer	95058	PASSIVE	117655	Wither Away	441894	1		3	10		95062	150	0
death-knight	6	frost	251	hero	Deathbringer	95043	PASSIVE	117640	Bind in Darkness	440031	1		3	11		95062	137	0
death-knight	6	frost	251	hero	Deathbringer	109735	PASSIVE	135993	Frigid Resolve	1265859	1		3	12		95062	192	0
death-knight	6	frost	251	hero	Deathbringer	95061	PASSIVE	117658	Soul Rupture	437161	1		4	9		95036	153	0
death-knight	6	frost	251	hero	Deathbringer	95034	PASSIVE	117631	Grim Reaper	434905	1		4	10		95058	130	0
death-knight	6	frost	251	hero	Deathbringer	95035	CHOICE	117632	Pact of the Deathbringer	440476	1		4	11	95035	95043	131	0
death-knight	6	frost	251	hero	Deathbringer	95035	CHOICE	123420	Rune Carved Plates	440282	1		4	11	95035	95043	131	1
death-knight	6	frost	251	hero	Deathbringer	109734	PASSIVE	135992	Deathly Blows	1265932	1		4	12		109735	191	0
death-knight	6	frost	251	hero	Deathbringer	95032	PASSIVE	117629	Swift and Painful	443560	1		5	9		95061	128	0
death-knight	6	frost	251	hero	Deathbringer	95057	CHOICE	117654	Dark Talons	436687	1		5	10	95057	95034	149	0
death-knight	6	frost	251	hero	Deathbringer	95057	CHOICE	128266	Reaper's Onslaught	469870	1		5	10	95057	95034	149	1
death-knight	6	frost	251	hero	Deathbringer	95049	CHOICE	117646	Death's Messenger	437122	1		5	11	95049	95035	143	0
death-knight	6	frost	251	hero	Deathbringer	95049	CHOICE	128234	Expelling Shield	439948	1		5	11	95049	95035	143	1
death-knight	6	frost	251	hero	Deathbringer	109733	PASSIVE	135991	Echoing Fury	1265855	1		5	12		109734	190	0
death-knight	6	frost	251	hero	Deathbringer	95068	PASSIVE	117665	Exterminate	441378	1		6	10		95057,95032,95049,109733	160	0
death-knight	6	frost	251	hero	Rider of the Apocalypse	95066	PASSIVE	117663	Rider's Champion	444005	1		7	10			158	0
death-knight	6	frost	251	hero	Rider of the Apocalypse	95060	CHOICE	117657	On a Paler Horse	444008	1		8	9	95060	95066	152	0
death-knight	6	frost	251	hero	Rider of the Apocalypse	95060	CHOICE	123412	Death Charge	444010	1		8	9	95060	95066	152	1
death-knight	6	frost	251	hero	Rider of the Apocalypse	95067	PASSIVE	117664	Mograine's Might	444047	1		8	10		95066	159	0
death-knight	6	frost	251	hero	Rider of the Apocalypse	95037	CHOICE	117634	Horsemen's Aid	444074	1		8	11	95037	95066	133	0
death-knight	6	frost	251	hero	Rider of the Apocalypse	95037	CHOICE	123410	Pact of the Apocalypse	444083	1		8	11	95037	95066	133	1
death-knight	6	frost	251	hero	Rider of the Apocalypse	109741	PASSIVE	135999	Ride or Die!	1265959	1		8	12		95066	198	0
death-knight	6	frost	251	hero	Rider of the Apocalypse	95047	PASSIVE	117644	Whitemane's Famine	444033	1		9	9		95060	141	0
death-knight	6	frost	251	hero	Rider of the Apocalypse	95059	PASSIVE	117656	Nazgrim's Conquest	444052	1		9	10		95067	151	0
death-knight	6	frost	251	hero	Rider of the Apocalypse	95063	PASSIVE	117660	Trollbane's Icy Fury	444097	1		9	11		95037	155	0
death-knight	6	frost	251	hero	Rider of the Apocalypse	109740	PASSIVE	135998	Let Terror Reign	1265949	1		9	12		109741	197	0
death-knight	6	frost	251	hero	Rider of the Apocalypse	95044	PASSIVE	117641	Hungering Thirst	444037	1		10	9		95047	138	0
death-knight	6	frost	251	hero	Rider of the Apocalypse	95042	CHOICE	117639	Fury of the Horsemen	444069	1		10	10	95042	95059	136	0
death-knight	6	frost	251	hero	Rider of the Apocalypse	95042	CHOICE	123411	A Feast of Souls	444072	1		10	10	95042	95059	136	1
death-knight	6	frost	251	hero	Rider of the Apocalypse	95054	PASSIVE	117651	Mawsworn Menace	444099	1		10	11		95063	146	0
death-knight	6	frost	251	hero	Rider of the Apocalypse	109739	PASSIVE	135997	Unholy Armaments	1265971	1		10	12		109740	196	0
death-knight	6	frost	251	hero	Rider of the Apocalypse	95041	PASSIVE	117638	Apocalypse Now	444040	1		11	10		95042,95044,95054,109739	135	0
death-knight	6	unholy	252	class		76081	ACTIVE	96210	Icebound Fortitude	48792	1		2	2			38	0
death-knight	6	unholy	252	class		76071	ACTIVE	96200	Death Strike	49998	1		2	4			29	0
